index,id,release_date,production_budget,worldwide_gross,genre_ids
A Simple Favor,24,2018,20000000,97628717,Comedy
A Simple Favor,24,2018,20000000,97628717,Drama
A Street Cat Named Bob,31,2016,8000000,17382693,Drama
A Street Cat Named Bob,31,2016,8000000,17382693,Family
A Street Cat Named Bob,31,2016,8000000,17382693,Comedy
A Street Cat Named Bob,31,2016,8000000,17382693,Drama
A Street Cat Named Bob,31,2016,8000000,17382693,Family
A Street Cat Named Bob,31,2016,8000000,17382693,Comedy
A Thousand Words,1,2012,40000000,20790486,Drama
A Thousand Words,1,2012,40000000,20790486,Comedy
A True Story,27,2013,45000,0,Comedy
A Walk Among the Tombstones,67,2014,28000000,62108587,Crime
A Walk Among the Tombstones,67,2014,28000000,62108587,Drama
A Walk Among the Tombstones,67,2014,28000000,62108587,Mystery
A Walk Among the Tombstones,67,2014,28000000,62108587,Thriller
A Walk in the Woods,75,2015,8000000,37119358,Adventure
A Walk in the Woods,75,2015,8000000,37119358,Comedy
A Walk in the Woods,75,2015,8000000,37119358,Drama
A Wrinkle in Time,58,2018,103000000,133401882,Adventure
A Wrinkle in Time,58,2018,103000000,133401882,Science Fiction
A Wrinkle in Time,58,2018,103000000,133401882,Family
A Wrinkle in Time,58,2018,103000000,133401882,Fantasy
AWOL-72,65,2015,3000000,0,Thriller
Abduction,96,2011,35000000,86648359,Thriller
Abduction,96,2011,35000000,86648359,Action
Abduction,96,2011,35000000,86648359,Mystery
About Last Night,58,2014,13000000,50445860,Comedy
About Last Night,58,2014,13000000,50445860,Romance
About Time,95,2013,12000000,89309178,Comedy
About Time,95,2013,12000000,89309178,Drama
About Time,95,2013,12000000,89309178,Science Fiction
Above and Beyond,38,2015,1300000,288751,War
Above and Beyond,38,2015,1300000,288751,Documentary
Above and Beyond,38,2015,1300000,288751,Adventure
Above and Beyond,38,2015,1300000,288751,History
Abraham Lincoln: Vampire Hunter,65,2012,67500000,137489730,Action
Abraham Lincoln: Vampire Hunter,65,2012,67500000,137489730,Fantasy
Abraham Lincoln: Vampire Hunter,65,2012,67500000,137489730,Horror
Absentia,6,2011,70000,8555,Mystery
Absentia,6,2011,70000,8555,Horror
Absentia,6,2011,70000,8555,Thriller
Accidental Love,55,2015,26000000,135436,Romance
Accidental Love,55,2015,26000000,135436,Comedy
Acrimony,35,2018,20000000,46627836,Drama
Acrimony,35,2018,20000000,46627836,Thriller
Act of Valor,52,2012,12000000,82497035,Action
Act of Valor,52,2012,12000000,82497035,Thriller
Act of Valor,52,2012,12000000,82497035,War
Action Jackson,8,1988,7000000,20257000,Action
Action Jackson,8,1988,7000000,20257000,Adventure
Action Jackson,8,1988,7000000,20257000,Comedy
Action Jackson,8,1988,7000000,20257000,Crime
Action Jackson,8,1988,7000000,20257000,Drama
Action Point,50,2018,19000000,5103675,Comedy
Action Point,50,2018,19000000,5103675,Drama
Addicted,96,2014,5000000,17499242,Drama
Addicted,96,2014,5000000,17499242,Thriller
Admission,76,2013,13000000,18733666,Comedy
Admission,76,2013,13000000,18733666,Drama
Admission,76,2013,13000000,18733666,Romance
Adrift,89,2018,35000000,57897191,Documentary
Adrift,89,2018,35000000,57897191,Thriller
