index,id,release_date,production_budget,worldwide_gross,genre_ids
A Lonely Place to Die,56,2012,4000000,442550,"[12, 28, 53, 80]"
A Lot Like Love,48,2005,25000000,41921590,
A Low Down Dirty Shame,87,1994,10000000,29317886,
A Man Apart,14,2003,36000000,43797731,
A Man for All Seasons,69,1966,3900000,28350000,
A Midnight Clear,56,1992,5000000,1526697,
A Mighty Heart,4,2007,15000000,19153568,
A Mighty Wind,35,2003,6000000,18504539,
A Million Ways to Die in The West,48,2014,40000000,86778557,
A Monster Calls,41,2017,43000000,46414530,"[18, 14]"
A Monster Calls,41,2017,43000000,46414530,"[18, 14]"
A Most Violent Year,68,2014,20000000,8846875,"[80, 18, 53]"
A Most Violent Year,68,2014,20000000,8846875,"[80, 18, 53]"
A Most Wanted Man,76,2014,15000000,36068890,[53]
A Night at the Roxbury,86,1998,17000000,30331165,
A Nightmare On Elm Street 3: Dream Warriors,61,1987,5000000,44793222,
A Nightmare On Elm Street: The Dream Child,29,1989,6000000,22168359,
A Nightmare on Elm Street,49,2010,35000000,117729621,"[27, 9648, 53]"
A Nightmare on Elm Street,17,1984,1800000,25504513,"[27, 9648, 53]"
A Nightmare on Elm Street 4: The Dream Master,56,1988,13000000,49369899,
A Nightmare on Elm Street Part 2: Freddy's Revenge,76,1985,3000000,21163999,
A Passage to India,87,1984,27500000,27187653,
A Perfect Getaway,99,2009,14000000,22815460,
A Plague So Pleasant,81,2015,1400,0,
A Prairie Home Companion,4,2006,10000000,26716191,
A Quiet Place,66,2018,17000000,334522294,"[18, 27, 53, 878]"
A Room for Romeo Brass,42,2000,5250000,20097,
A Room with a View,77,1986,3000000,20966644,
A Scanner Darkly,70,2006,20000000,7405084,
A Serious Man,22,2009,7000000,30360570,
A Shine of Rainbows,93,2011,6000000,0,"[18, 10751]"
A Simple Favor,24,2018,20000000,97628717,"[53, 80, 9648, 35, 18]"
A Simple Plan,94,1998,17000000,16316273,
A Simple Wish,77,1997,28000000,8165213,
A Single Man,24,2009,7000000,28142379,
A Sound of Thunder,8,2005,80000000,6300451,
A Star is Born,5,2018,36000000,433449571,
A Street Cat Named Bob,31,2016,8000000,17382693,"[18, 10751, 35]"
A Street Cat Named Bob,31,2016,8000000,17382693,"[18, 10751, 35]"
A Streetcar Named Desire,21,1951,1800000,8000000,
A Thin Line Between Love & Hate,74,1996,8000000,34873513,
A Thousand Words,1,2012,40000000,20790486,"[18, 35]"
A Time to Kill,88,1996,40000000,152266007,
A True Story,27,2013,45000,0,[35]
A Very Harold & Kumar 3D Christmas,53,2011,20000000,36265745,
A View to a Kill,98,1985,30000000,152627960,
A Walk Among the Tombstones,67,2014,28000000,62108587,"[80, 18, 9648, 53]"
A Walk in the Woods,75,2015,8000000,37119358,"[12, 35, 18]"
A Walk on the Moon,15,1999,14000000,4741987,
A Walk to Remember,76,2002,11000000,46060861,
A Wrinkle in Time,58,2018,103000000,133401882,"[12, 878, 10751, 14]"
A.C.O.R.N.S.: Operation Crackdown,51,2016,8500000,1353287,
ABCD (Any Body Can Dance),11,2013,1900000,10137234,
ATL,92,2006,17000000,21170563,
AVP: Alien Vs. Predator,11,2004,70000000,172543519,
AWOL-72,65,2015,3000000,0,[53]
Abandon,87,2002,25000000,12219367,
Abduction,96,2011,35000000,86648359,"[53, 28, 9648]"
Aberdeen,3,2001,6500000,64148,
About Last Night,58,2014,13000000,50445860,"[35, 10749]"
About Schmidt,71,2002,30000000,107054484,
About Time,95,2013,12000000,89309178,"[35, 18, 878]"
About a Boy,99,2002,27000000,130759651,
Above and Beyond,38,2015,1300000,288751,"[10752, 99, 12, 36]"
Abraham Lincoln: Vampire Hunter,65,2012,67500000,137489730,"[28, 14, 27]"
Absentia,6,2011,70000,8555,"[9648, 27, 53]"
Absolute Power,36,1997,50000000,50068310,
Accidental Love,55,2015,26000000,135436,"[10749, 35]"
Ace Ventura: Pet Detective,51,1994,12000000,107217396,
Ace Ventura: When Nature Calls,50,1995,30000000,212400000,
Acrimony,35,2018,20000000,46627836,"[18, 53]"
Across the Universe,100,2007,45000000,29367143,
Act of Valor,52,2012,12000000,82497035,"[28, 53, 10752]"
Action Jackson,8,1988,7000000,20257000,"[28, 12, 35, 80, 18]"
Action Point,50,2018,19000000,5103675,"[35, 18]"
Ad Astra,9,2019,49800000,0,
Adam,59,2009,3200000,2834485,
Adam Resurrected,41,2009,10000000,90909,
Adaptation,59,2002,18500000,32531759,
Addicted,96,2014,5000000,17499242,"[18, 53]"
Admiral,7,2008,20000000,38585047,
